CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City
11000,Jon,Yang,Jon Yang,Male,2018-01-19,Rockhampton
11001,Eugene,Huang,Eugene Huang,Male,2018-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,Male,2018-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,Female,2017-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,2018-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,Male,2017-12-30,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,Female,2018-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,Male,2018-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,Female,2018-01-25,Bendigo
11009,Shannon,Carlson,Shannon Carlson,Male,2018-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,2018-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,Male,2017-12-30,East Brisbane
11012,Lauren,Walker,Lauren Walker,Female,2020-03-16,Bremerton
11013,Ian,Jenkins,Ian Jenkins,Male,2020-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,Female,2020-03-23,Redmond
11015,Chloe,Young,Chloe Young,Female,2020-01-18,Burbank
11016,Wyatt,Hill,Wyatt Hill,Male,2020-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,Female,2018-01-12,Sunbury
11018,Clarence,Rai,Clarence Rai,Male,2018-01-17,Bendigo
11019,Luke,Lal,Luke Lal,Male,2020-02-12,Langley
11020,Jordan,King,Jordan King,Male,2019-12-29,Metchosin
11021,Destiny,Wilson,Destiny Wilson,Female,2020-01-23,Beaverton
11022,Ethan,Zhang,Ethan Zhang,Male,2020-01-20,Bellingham
11023,Seth,Edwards,Seth Edwards,Male,2020-02-17,Bellflower
11024,Russell,Xie,Russell Xie,Male,2020-06-27,Concord
11025,Alejandro,Beck,Alejandro Beck,Male,2018-01-06,Hawthorne
11026,Harold,Sai,Harold Sai,Male,2018-01-23,Goulburn
11027,Jessie,Zhao,Jessie Zhao,Male,2018-01-16,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,Female,2018-01-26,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,Male,2018-01-19,Bendigo
11030,Bethany,Yuan,Bethany Yuan,Female,2018-02-05,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,Female,2018-02-01,Matraville
11032,Denise,Stone,Denise Stone,Female,2018-02-18,Melbourne
11033,Jaime,Nath,Jaime Nath,Male,2018-02-15,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,2018-02-01,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,Female,2018-02-06,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,Female,2020-01-22,National City
11037,Chloe,Garcia,Chloe Garcia,Female,2020-01-20,Cliffside
11038,Diana,Hernandez,Diana Hernandez,Female,2018-02-07,Lavender Bay
11039,Marc,Martin,Marc Martin,Male,2018-02-07,Wollongong
